"","letter","alpha","lambda","prc.ok","prc.ko"
"1","A",0,421.970813481106,61.4541456207264,38.5458543792736
"2","A",0,349.663064946731,61.4541456207264,38.5458543792736
"3","A",0,289.745771702327,61.4541456207264,38.5458543792736
"4","A",0,240.095739686336,61.4541456207264,38.5458543792736
"5","A",0,198.953599484282,61.4541456207264,38.5458543792736
"6","A",0,164.861462346076,61.4541456207264,38.5458543792736
"7","A",0,136.611259295331,61.4541456207264,38.5458543792736
"8","A",0,113.201932705653,61.4541456207264,38.5458543792736
"9","A",0,93.8039634097217,61.4541456207264,38.5458543792736
"10","A",0,77.7299763445911,61.4541456207264,38.5458543792736
"11","A",0,64.410383132111,61.4541456207264,38.5458543792736
"12","A",0,53.3731984792251,61.4541456207264,38.5458543792736
"13","A",0,44.2273151839485,61.4541456207264,38.5458543792736
"14","A",0,36.6486450899452,61.4541456207264,38.5458543792736
"15","A",0,30.3686348886994,61.4541456207264,38.5458543792736
"16","A",0,25.1647498219834,61.4541456207264,38.5458543792736
"17","A",0,20.8525880706827,61.4541456207264,38.5458543792736
"18","A",0,17.279346400087,61.4541456207264,38.5458543792736
"19","A",0,14.3184055140847,61.4541456207264,38.5458543792736
"20","A",0,11.864843248049,61.4541456207264,38.5458543792736
"21","A",0,9.83171660854949,61.4541456207264,38.5458543792736
"22","A",0,8.1469809124299,61.4541456207264,38.5458543792736
"23","A",0,6.7509368536701,61.4541456207264,38.5458543792736
"24","A",0,5.59411503379207,61.4610177644916,38.5389822355084
"25","A",0,4.63552299326954,61.5331752740267,38.4668247259733
"26","A",0,3.84119262677452,61.7908806652235,38.2091193347765
"27","A",0,3.18297650931941,62.6567707796447,37.3432292203553
"28","A",0,2.63755048061376,64.5637906745009,35.4362093254991
"29","A",0,2.18558714379999,67.5256846373226,32.4743153626774
"30","A",0,1.81107099115397,71.1129436827818,28.8870563172182
"31","A",0,1.50073088794651,75.6107617771364,24.3892382228636
"32","A",0,1.24356980429667,79.6309658798062,20.3690341201938
"33","A",0,1.03047513087075,82.8368209462942,17.1631790537058
"34","A",0,0.853895769802531,85.259251623544,14.740748376456
"35","A",0,0.707574558418055,87.1181665120434,12.8818334879566
"36","A",0,0.586326544088966,88.6850152905199,11.3149847094801
"37","A",0,0.485855253292185,89.9185650963818,10.0814349036182
"38","A",0,0.402600444294051,90.7466584200941,9.25334157990585
"39","A",0,0.333611948512351,91.2655052743703,8.73449472562966
"40","A",0,0.276445130072728,91.6469092533416,8.35309074665842
"41","A",0,0.22907425912564,91.935539291482,8.06446070851802
"42","A",0,0.189820729271503,92.1142150293784,7.88578497062159
"43","A",0,0.157293575448836,92.2207332577398,7.77926674226025
"44","A",0,0.130340184512151,92.310071126688,7.68992887331203
"45","A",0,0.10800545190854,92.36504827681,7.63495172319005
"46","A",0,0.089497937152916,92.437205786345,7.56279421365495
"47","A",0,0.0741618188071666,92.4784386489365,7.52156135106346
"48","A",0,0.0614536551763172,92.5231075834106,7.47689241658936
"49","A",0,0.0509231272273591,92.5540322303543,7.44596776964574
"50","A",0,0.0421970813481107,92.5677765178848,7.43222348211525
"51","A",0.25,1.68788325392445,61.4541456207264,38.5458543792736
"52","A",0.25,1.39865225978694,61.4541456207264,38.5458543792736
"53","A",0.25,1.15898308680932,61.4541456207264,38.5458543792736
"54","A",0.25,0.96038295874536,61.4541456207264,38.5458543792736
"55","A",0.25,0.795814397937141,61.4541456207264,38.5458543792736
"56","A",0.25,0.659445849384314,61.48507026767,38.51492973233
"57","A",0.25,0.54644503718133,62.0279696251246,37.9720303748754
"58","A",0.25,0.452807730822619,78.4214685771226,21.5785314228774
"59","A",0.25,0.375215853638892,88.0596502078823,11.9403497921177
"60","A",0.25,0.310919905378369,91.6056763907501,8.39432360924991
"61","A",0.25,0.257641532528448,92.4681304332887,7.53186956671134
"62","A",0.25,0.213492793916903,92.6193175961241,7.38068240387589
"63","A",0.25,0.176909260735797,92.6639865305982,7.33601346940178
"64","A",0.25,0.146594580359783,92.6811668900113,7.31883310998866
"65","A",0.25,0.121474539554799,92.6914751056592,7.30852489434079
"66","A",0.25,0.100658999287935,92.7052193931897,7.29478060681029
"67","A",0.25,0.0834103522827321,92.7086554650723,7.29134453492767
