"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.7,1,1,18045,2155,7732,924,10.6683168316832,10.6746765249538
0.7,1,2,19060,1140,8163,493,5.64356435643564,5.69547134935305
0.7,1,3,19315,885,8281,375,4.38118811881188,4.3322550831793
0.7,1,4,20049,151,8593,63,0.747524752475248,0.727818853974122
0.7,2,1,12558,1189,5381,510,8.64915981668728,8.65727380750297
0.7,2,2,11550,2197,4950,941,15.9816687277224,15.9735189271771
0.7,2,3,12840,908,5502,388,6.60459703229561,6.5874363327674
0.7,2,4,13627,121,5838,52,0.88012801862089,0.882852292020374
0.7,3,1,26718,1059,11451,453,3.81250675018901,3.8054435483871
0.7,3,2,26289,1488,11266,638,5.35694999459985,5.35954301075269
0.7,3,3,24324,3454,10416,1487,12.4343005255958,12.492648912039
0.7,3,4,26859,919,11510,393,3.30837353301174,3.30168864992019
0.7,4,1,6129,56,2623,26,0.905416329830234,0.981502453756134
0.7,4,2,6099,86,2611,38,1.39046079223929,1.43450358625897
0.7,4,3,5715,469,2452,198,7.58408796895213,7.47169811320755
0.7,4,4,5579,605,2389,261,9.78331177231565,9.84905660377358
0.8,1,1,20628,2458,5151,619,10.6471454561206,10.7279029462738
0.8,1,2,21776,1309,5446,325,5.67034871128438,5.63160630739906
0.8,1,3,22074,1012,5516,254,4.38360911374859,4.40207972270364
0.8,1,4,22912,173,5729,42,0.749404375135369,0.727776815110033
0.8,2,1,14349,1362,3587,340,8.66908535421043,8.65800865800866
0.8,2,2,13195,2516,3301,626,16.0142575265737,15.9409218232748
0.8,2,3,14674,1037,3668,259,6.60047100757431,6.59536541889483
0.8,2,4,15572,139,3893,34,0.884730443638215,0.865800865800866
0.8,3,1,30530,1216,7635,300,3.83040383040383,3.78071833648393
0.8,3,2,30043,1703,7510,425,5.36445536445536,5.35601764335224
0.8,3,3,27795,3951,6945,990,12.4456624456624,12.476370510397
0.8,3,4,30696,1050,7673,262,3.30750330750331,3.30182734719597
0.8,4,1,7004,64,1749,17,0.905489530277306,0.962627406568516
0.8,4,2,6971,97,1739,27,1.37238256932654,1.52887882219706
0.8,4,3,6536,532,1632,134,7.52688172043011,7.58776896942242
0.8,4,4,6383,685,1593,173,9.69156762874929,9.79614949037373
0.9,1,1,23206,2766,2577,307,10.6499306945942,10.6449375866852
0.9,1,2,24501,1470,2719,166,5.6601594085711,5.75389948006932
0.9,1,3,24841,1131,2757,127,4.35468966579393,4.40360610263523
0.9,1,4,25778,193,2864,21,0.743136575411035,0.72790294627383
0.9,2,1,16149,1526,1793,170,8.63366336633663,8.6602139582272
0.9,2,2,14843,2832,1651,312,16.022630834512,15.8940397350993
0.9,2,3,16508,1167,1834,129,6.6025459688826,6.571574121243
0.9,2,4,17519,156,1946,17,0.882602545968883,0.86602139582272
0.9,3,1,34352,1362,3817,150,3.81363050904407,3.78119485757499
0.9,3,2,33800,1914,3755,212,5.35924287394299,5.34408873203932
0.9,3,3,31269,4445,3470,497,12.4460995687965,12.5283589614318
0.9,3,4,34533,1181,3836,131,3.30682645461164,3.30224350894883
0.9,4,1,7880,71,875,8,0.892969437806565,0.906002265005662
0.9,4,2,7842,109,870,13,1.37089674254811,1.4722536806342
0.9,4,3,7353,598,816,67,7.52106653251163,7.58776896942242
0.9,4,4,7180,771,799,84,9.69689347251918,9.51302378255946
