"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.7,1,1,8236,2184,3533,932,20.9596928982726,20.8734602463606
0.7,1,2,9297,1123,3986,479,10.7773512476008,10.7278835386338
0.7,1,3,9226,1194,3942,523,11.4587332053743,11.7133258678611
0.7,2,1,14922,465,6393,199,3.02203158510431,3.01881067961165
0.7,2,2,12957,2429,5552,1041,15.7870791628753,15.7894736842105
0.7,2,3,13415,1972,5753,839,12.8160135179047,12.7275485436893
0.7,3,1,41692,411,17867,175,0.976177469538988,0.969958984591509
0.7,3,2,41023,1079,17582,461,2.56282361883046,2.55500748212603
0.7,3,3,40609,1493,17405,638,3.54614982661156,3.53599733968852
0.8,1,1,9437,2472,2329,647,20.7574103619112,21.7405913978495
0.8,1,2,10625,1284,2658,318,10.7817616928373,10.6854838709677
0.8,1,3,10537,1371,2635,342,11.5132683909976,11.4880752435338
0.8,2,1,17053,531,4263,132,3.01979071883531,3.00341296928328
0.8,2,2,14808,2776,3699,696,15.7870791628753,15.8361774744027
0.8,2,3,15337,2247,3837,558,12.7786624203822,12.6962457337884
0.8,3,1,47648,469,11911,117,0.97470748384147,0.972730295976056
0.8,3,2,46885,1232,11721,307,2.5604256291955,2.55237778516794
0.8,3,3,46416,1701,11602,426,3.53513311303697,3.54173594945128
0.9,1,1,10586,2812,1183,304,20.9882071951037,20.44384667115
0.9,1,2,11953,1445,1330,157,10.7851918196746,10.5581708137189
0.9,1,3,11856,1541,1309,179,11.5025752034037,12.0295698924731
0.9,2,1,19185,597,2131,66,3.01789505611162,3.00409649522076
0.9,2,2,16658,3124,1851,346,15.7921342634718,15.748748293127
0.9,2,3,17252,2530,1916,281,12.7894045091497,12.7901684114702
0.9,3,1,53604,528,5955,58,0.975393482598094,0.964576750374189
0.9,3,2,52746,1386,5860,153,2.56040789182,2.5444869449526
0.9,3,3,52214,1917,5801,213,3.5414088045667,3.54173594945128
