"","size.train","error.rf.test","error.rf.train","error.rf.test.0","error.rf.train.0","error.rf.test.1","error.rf.train.1"
"1",0.5,0.0630379877325911,0,0.0630379877325911,0,0.0630379877325911,0
"2",0.7,0.062780269058296,0,0.062780269058296,0,0.062780269058296,0
"3",0.9,0.0629864439977321,0,0.0629864439977321,0,0.0629864439977321,0
