"","X0","X1","X2","X3","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",-5.11960348256733e-05,0.000132017556641588,0.000212553918812065,0.000309838947830824,0.000112481926533108,122.935379531788
"group_size",7.66085910316593e-05,4.43679015039509e-06,0.000202555689138524,0.000225825724095847,0.000115316188926392,37.4514435139817
"homeowner",0.000124226035913967,3.8640256269348e-05,0.000176961338009026,1.26577467918624e-05,0.000115819671177835,15.8804868021873
"car_age",0.02524909883519,0.00343486403040934,0.0064540431992439,0.00518703872657524,0.0116817818564655,325.316313859374
"car_value",0.000691857047726539,0.000394020059072901,0.000537689237495952,0.000195007412013994,0.000529562733679269,119.575966249144
"risk_factor",0.00170553880852687,0.000794421442683691,0.00102812017147415,0.00236646101371494,0.00126807585463266,104.217021249758
"age_youngest",0.000822981514074656,0.00136736186026615,0.00245262318762293,0.00137105290471194,0.00159783481328356,156.209965804147
"age_oldest",0.000970506799485043,0.00204744446873346,0.00290920808685678,0.000910991907031048,0.001957472319894,158.435843107392
"married_couple",4.36122970426547e-05,0.000141437443551846,4.84184016346039e-05,2.376980773548e-05,6.82789752313057e-05,13.2706404319177
"C_previous",0.000393638179532812,0.00224374910335137,0.00128510681557105,0.00135076476048361,0.00123846445269079,86.078235153479
"duration_previous",0.000278120626680761,0.000820160455141793,0.000644622279212534,0.00282408818696312,0.00069579674872913,126.549707347797
"last_cost",0.00884151083038643,0.00923690151431479,0.010251592268974,0.0053908651398515,0.00926657755612887,206.787511231067
"shopping_pt_2_cost",0.00378693040271612,0.0110318750314329,0.00971343079281383,0.00479495818489774,0.0078451038278229,220.942999634693
"shopping_pt_3_cost",0.00591709721973734,0.0110416401789049,0.0115516429896727,0.00801261876136978,0.00939987018317637,210.742499959089
"shopping_pt_min_cost_cost",0.00633446528555423,0.0115130321827465,0.00934536081154267,0.00598463033357003,0.00871581627761488,203.357986106121
"last_A",0.0980346373590418,0.0177435090826694,0.0239023705531874,0.154893782013501,0.0538543137222347,928.110499120333
"last_B",0.000315965475665995,0.000399882661400437,0.000285904949329023,0.000873280591907954,0.000358124293770237,15.6992436866532
"last_C",0.00193282606348504,0.00431064415912895,0.0036013005578251,0.00425542663330066,0.00328369214394459,55.7796472386202
"last_D",0.000921015303164315,0.00262066967556031,0.00216953829314579,0.00180003346712888,0.0018597252088825,36.9100754821981
"last_E",0.0298791677580664,0.00154751024447385,0.000988568725339327,0.00233571477512869,0.0105213111924225,74.0841224459688
"last_F",0.325939237303446,0.380057937634945,0.266122010465879,0.288350114643771,0.314837655248621,6014.56070782503
"last_G",0.00178690113091991,0.00460256020039142,0.00493733589390812,0.00574239687200546,0.00388891045697788,83.1262812117192
"shopping_pt_2_A",0.00799079418015572,0.00676176700819802,0.00641594401879713,0.0102456291940085,0.00723288865729808,273.230795906338
"shopping_pt_2_B",0.000183381262869192,0.000390861215360837,0.00046368943385753,0.00012458798033367,0.000335944286862591,15.7494212398854
"shopping_pt_2_C",0.00114105639040918,0.00143049683896315,0.00325985703398949,0.00179521365369942,0.00204284770191619,49.5699426897493
"shopping_pt_2_D",0.000970607982492747,0.00140090056095049,0.00142395950833377,0.00109013427260151,0.0012522047908481,33.8880172760038
"shopping_pt_2_E",0.00204395556004746,0.00216324412472312,0.00256953073031985,0.00211241405823987,0.0022699948679574,33.1264972214238
"shopping_pt_2_F",0.0503402205208534,0.0265796985751419,0.0262502706000507,0.0394736000064545,0.03485448062047,2195.36111977028
"shopping_pt_2_G",0.00108002874907528,0.00195538270803368,0.00233285406705421,0.00149945871829108,0.00178521953477522,47.6039598477421
"shopping_pt_3_A",0.0296666333142956,0.0093506185318347,0.0114906456211251,0.0511652740847277,0.019110814482042,589.74909629712
"shopping_pt_3_B",0.000211782659770768,0.000181256229973961,0.000337007413436327,0.000221542950257666,0.000251513085795264,13.8610038267883
"shopping_pt_3_C",0.00146016380573019,0.00267528484931345,0.00492589811352024,0.00145376822591106,0.0030517212827041,57.9645166616374
"shopping_pt_3_D",0.000747573579882902,0.00151876286990695,0.0018797713576877,0.00197548132344668,0.00143098051081987,32.9596991016067
"shopping_pt_3_E",0.00826002413550209,0.00116192116028871,0.003197147615875,0.00155993444080508,0.00423217232330307,31.6619719757675
"shopping_pt_3_F",0.12382556277504,0.136498941938719,0.0760801259741222,0.114800946368763,0.108601971739849,3843.43637050957
"shopping_pt_3_G",0.00128397081476368,0.00398662971547866,0.00285572853078715,0.00159672714046664,0.00255974159429596,66.7340247271175
"shopping_pt_min_cost_A",0.0281818324303373,0.0117728702836244,0.0133116153396781,0.0485687262552778,0.0197456751900834,550.476551717023
"shopping_pt_min_cost_B",0.000101437199813222,0.000380602257059948,0.000347827682753517,0.00083876694603497,0.000306048961721938,13.004136905488
"shopping_pt_min_cost_C",0.00115124470753517,0.00246239947278727,0.00367773749157924,0.00326690726922345,0.00254283616687277,46.1258442588699
"shopping_pt_min_cost_D",0.00108601991918404,0.0021499136838874,0.0017223474994481,0.00159706836350224,0.00161559769579456,40.6235218494619
"shopping_pt_min_cost_E",0.0077826672140383,0.00205106176691586,0.00269678787170458,0.00185566347215474,0.00412113003070389,64.1148355194809
"shopping_pt_min_cost_F",0.133509193128795,0.118049612887597,0.0748387737440638,0.118580433674918,0.106958006643819,3689.0792039704
"shopping_pt_min_cost_G",0.00198367694395362,0.00303270777459093,0.00329779977829187,0.00430467960558439,0.00286643151445878,60.0511998071203
"A0_count",0.00835951440021402,0.00398293074100387,0.00398347227743091,0.0026160518405231,0.00531200707601847,133.464031993623
"A1_count",0.00325379207285797,0.00755697390277124,0.0106723809306998,0.00441188321421822,0.00714641962385478,148.946009815662
"A2_count",0.000910049880838172,0.00318669763804483,0.00512712371329372,0.0160538480011878,0.00392304151332841,128.296673261463
"B0_count",0.00241272101855253,0.00397680652793337,0.00544879636107402,0.00196844706388263,0.00390630010213057,137.583423742101
"B1_count",0.00204951414427899,0.00386433987899115,0.0054233588486841,0.00225870033658974,0.00376759188241162,138.252740915132
"C1_count",0.00208868361682971,0.00291549280337916,0.0054085460566514,0.00129797999606454,0.00348820273476333,139.788771459096
"C2_count",0.00180699815699608,0.00272378648945486,0.00261233541544604,0.00180234589089601,0.00233179612223417,133.941089671073
"C3_count",0.00196603637295026,0.00484647850501431,0.00659328513010964,0.00384062799132244,0.00450999640385348,131.424699668061
"C4_count",0.00133174919089731,0.00307456124423202,0.00335435326610247,0.00267422921912551,0.00259630266146129,97.6888597102375
"D1_count",0.00195930101242545,0.00181195455927813,0.00226307614435322,0.00199546000911929,0.00203820005198097,106.456501919526
"D2_count",0.00143617954095658,0.00177289043792412,0.00243759893968946,0.00176428074075287,0.00191273104118126,125.906942823966
"D3_count",0.00304526577144135,0.00426030454520401,0.0066531086022716,0.00409047887839253,0.00475110392189576,142.71303338352
"E0_count",0.0041826310298269,0.00418573486462821,0.00669377035714585,0.00336794905427304,0.00507343784841279,144.856781988254
"E1_count",0.00238783910232914,0.00481052026585244,0.00670226140477532,0.00344973700241893,0.00465640371668781,141.579819220728
"F0_count",0.057437222474985,0.0126033666906164,0.0114716966726706,0.00769503101482845,0.026341745592997,570.071334816296
"F1_count",0.047380837456943,0.102883795981175,0.010850164741177,0.00695522824066115,0.0450836322345624,827.317395818276
"F2_count",0.0808324701668821,0.00982299564222159,0.0879515066496178,0.0148222993923994,0.062124609448181,1026.59362666057
"F3_count",0.0197766587695418,0.00331740923105434,0.00320643145180527,0.16032630168091,0.0176810725594303,324.491937905809
"G1_count",0.00128773147926551,0.00270224622470645,0.003254152497981,0.00201960855317699,0.0024115901979704,98.9483585573299
"G2_count",0.0042481714820728,0.00318361863921954,0.00401886972649543,0.00299676130838932,0.00382535576379781,145.247988937869
"G3_count",0.00376445953018969,0.00334619417392336,0.00476307406549127,0.00348088311342964,0.00401771801858901,141.656789373581
