"","size.train","error.rf.test","error.rf.train","error.rf.test.0","error.rf.train.0","error.rf.test.1","error.rf.train.1","error.rf.test.2","error.rf.train.2","error.rf.test.3","error.rf.train.3"
"1",0.5,0.130824742268041,0,0.0720103092783505,0,0.0939690721649485,0,0.0626288659793814,0,0.0330412371134021,0
"2",0.7,0.130876288659794,0,0.0722164948453608,0,0.0942783505154639,0,0.0618556701030928,0,0.0334020618556701,0
"3",0.9,0.129484536082474,0,0.0717010309278351,0,0.0928350515463918,0,0.0621134020618557,0,0.032319587628866,0
