"","X0","X1","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",0.000123743769950706,-6.9356283118839e-05,3.11634864019639e-05,122.002923775468
"group_size",0.00010807461493425,9.12880723201735e-05,9.99269975830972e-05,30.3251658019206
"homeowner",0.00010570967585853,0.000125937892782644,0.000115340704500811,15.1693254639297
"car_age",0.00501891063103845,0.00230544097299839,0.00372810911430741,148.292401103461
"car_value",0.000240720292080888,0.000270087313669545,0.000255399522922191,111.417296578261
"risk_factor",0.000723915639197534,0.000891307971117698,0.000804240773414203,91.6283672068697
"age_youngest",0.00189033231975772,0.00160287929056135,0.00175458788315677,144.343134915968
"age_oldest",0.00195044380811602,0.00227798914386795,0.00210704445749624,147.372501016568
"married_couple",0.000141087105177986,0.000107441508191065,0.000125058606837325,14.3646522449728
"C_previous",0.000916473796850421,0.00121887973537153,0.00106033685577016,77.1138543877761
"duration_previous",0.000612808494828232,0.000458374289396094,0.000538813949533068,112.710766890357
"last_cost",0.00593961963422002,0.00558661361102008,0.00577003454075201,173.812067575975
"shopping_pt_2_cost",0.00568600190533008,0.00578702587819063,0.00573292361617632,181.313900720894
"shopping_pt_3_cost",0.00605932229867769,0.00602849543754945,0.00604428423297797,177.561753782673
"shopping_pt_min_cost_cost",0.00634168290041355,0.00642470851281836,0.00638076533679508,172.086047658444
"last_A",0.0121034948131875,0.00275797451256424,0.00765544797512279,50.5106949960364
"last_B",0.271894205969865,0.280468973722726,0.275959888746313,5667.38951999135
"last_C",0.00165714154660034,0.00154103548229098,0.00160245019317733,44.579566742511
"last_D",0.00133638531330218,0.0008831083642384,0.00112097948478446,27.4358284804018
"last_E",0.0181124568910831,0.0170273768016181,0.0176163858564836,311.274966025806
"last_F",0.0105485120793633,0.00259794180085268,0.00676783030668879,53.1895461807216
"last_G",0.00179918188956192,0.0015295283337059,0.0016704438005341,42.037192535187
"shopping_pt_2_A",0.00283993258473839,0.00164095868980824,0.00227022958874059,39.3891571110593
"shopping_pt_2_B",0.00783758451151405,0.00783942613126912,0.00784041544610102,1662.11264558109
"shopping_pt_2_C",0.00126768086224181,0.00178897704405684,0.00151665420651612,41.0862956127681
"shopping_pt_2_D",0.00159472837820387,0.00102372798721775,0.00132247501238633,27.5388475002141
"shopping_pt_2_E",0.00337130290075338,0.00326577712432047,0.00332087288741921,160.365550250625
"shopping_pt_2_F",0.00406698123404201,0.00292364299249948,0.00352616799717088,49.792487121734
"shopping_pt_2_G",0.00175126074919718,0.00181174255878638,0.00178067160345891,42.1118696875984
"shopping_pt_3_A",0.00635066661116354,0.00350918460438914,0.00499574447998331,46.848850879292
"shopping_pt_3_B",0.0584113093696076,0.0487267612933783,0.0538074605885606,2748.74457409944
"shopping_pt_3_C",0.00149094675082488,0.00170871833288856,0.00159531020154487,43.7206366973654
"shopping_pt_3_D",0.0015909540585581,0.000791879726685599,0.0012125130622852,25.283124403646
"shopping_pt_3_E",0.00586346952548279,0.0052804385691785,0.00558788941081039,224.023403223154
"shopping_pt_3_F",0.0064850909599084,0.00154228454645528,0.00413752797380816,42.8916410023366
"shopping_pt_3_G",0.00221543872351594,0.0014729445842095,0.00186329521840332,41.4040758905521
"shopping_pt_min_cost_A",0.0072751874397357,0.00215308883382037,0.00483984468727601,40.1196479636343
"shopping_pt_min_cost_B",0.0621515143797436,0.063370736299532,0.0627171921464267,2317.76116899163
"shopping_pt_min_cost_C",0.00164820541307475,0.00145583024753905,0.00155727281728107,40.6303924380665
"shopping_pt_min_cost_D",0.00200049048753795,0.00122762907778149,0.00163264031615434,28.4724793895172
"shopping_pt_min_cost_E",0.00621668783323369,0.00813309391014558,0.00713027396151459,276.957667387127
"shopping_pt_min_cost_F",0.00549226577829554,0.0029777297219707,0.004296923491548,45.6932175041778
"shopping_pt_min_cost_G",0.00216997297280024,0.00115684811688087,0.00168858516955155,40.3595632836324
"A0_count",0.0049640146676872,0.00284968518090281,0.00395921255384536,104.430408881586
"A1_count",0.00716191795528576,0.0045049683772172,0.00589642226331956,130.961670857771
"A2_count",0.00231911534213788,0.00174304314124541,0.00204533234375551,101.242330297558
"B0_count",0.0258772791232363,0.0142361149398854,0.0203361313608103,351.64145253885
"B1_count",0.0212212398793417,0.0205985210031281,0.0209276088761488,367.17073634233
"C1_count",0.00339661606672197,0.00280396115117917,0.00311499874092732,112.6032124176
"C2_count",0.00324787604582266,0.00297468067724215,0.00311949169089058,107.863884838519
"C3_count",0.00506699543443976,0.00514028059032172,0.00510127506484912,121.892945552028
"C4_count",0.00216166951015052,0.00255650374025078,0.00234979289419895,87.9377080880963
"D1_count",0.00276463118756674,0.00112393022528251,0.00198248706466294,85.9397346626694
"D2_count",0.0023258619299296,0.00168969206949209,0.00202327835158066,107.29509751266
"D3_count",0.0059787439251806,0.0053950961034323,0.00569944166135475,127.33764117205
"E0_count",0.00929393763263031,0.00537386894767789,0.007428458934676,136.18527225916
"E1_count",0.00657916563350336,0.00548231215917685,0.0060576475662995,133.7586546728
"F0_count",0.00563627651434324,0.00404012824934932,0.00487602089641678,112.048635895738
"F1_count",0.00399778199164072,0.00267700205460268,0.00337145139485509,105.321016962917
"F2_count",0.00706111554360621,0.00387845543646608,0.00554593094935966,117.589782574011
"F3_count",0.00172578458968606,0.00103267768642297,0.0013962879714365,64.2507163192976
"G1_count",0.00329923979940562,0.00257108732935548,0.00295377807503215,85.5209436672038
"G2_count",0.00335812871048859,0.00458477584250735,0.00394329279103068,106.46823751866
"G3_count",0.00347725468595077,0.00446453302895546,0.00394880459421825,113.759530530456
"G4_count",0.00146992258103415,0.00168565259498509,0.00157341320915937,84.744201329588
"car_age_cut",0.00267257832315252,0.00107354358570956,0.00191350984256844,72.1753057682053
"age_youngest_cut",0.0013258091549801,0.00109338572045907,0.00121698771181237,109.410018148527
"age_oldest_cut",0.00122245216510752,0.00141492145249647,0.00131474510983737,103.878240511945
"duration_previous_cut",0.000566181869499244,0.000514161929417713,0.000541627670077451,131.021514289493
"last_cost_cut",0.00523353463149341,0.00104778199105231,0.00324198887044427,168.991523527492
