"","X0","X1","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",7.88250458226793e-05,-0.000132294546715261,-1.90004060493018e-05,222.585663346873
"group_size",7.75072110972982e-05,0.000112078892859915,9.36530169264051e-05,48.0163214402188
"homeowner",0.000180309968075407,0.000217252681975518,0.000197151995669946,33.2200742335811
"car_age",0.0121725243793115,0.0105954236474726,0.011443069443399,474.776840607714
"car_value",0.000260190471807536,0.000245694501808787,0.000253066325398306,198.328464024887
"risk_factor",0.00103810948357761,0.00104966375688797,0.00104362890567659,163.220465619798
"age_youngest",0.00416993866699479,0.00311040779123537,0.0036795191165438,242.078982921971
"age_oldest",0.00309512580993882,0.00458570568744534,0.00378424301113177,238.410923514389
"married_couple",0.000103349094853091,7.24527449693144e-05,8.88807405974602e-05,26.8195265314165
"C_previous",0.00085095653135358,0.00264354460042162,0.00168056729303152,141.729164878623
"duration_previous",0.000705503653298368,0.00092205373221484,0.000805524288245496,172.295688607831
"last_cost",0.00780454082501788,0.00781342788545441,0.00780865538793533,307.596950388097
"shopping_pt_2_cost",0.00583705114287641,0.00709788904316913,0.00642029749819427,296.736236886223
"shopping_pt_3_cost",0.00798819427032707,0.00769217554361956,0.00785414712117843,320.192815964369
"shopping_pt_min_cost_cost",0.00765643369119893,0.00819172769720563,0.00790347960972198,287.949883937435
"last_A",0.0276538570220695,0.021741404321507,0.0249271051280782,1194.76325240619
"last_B",0.0106687617144351,0.00757748607345403,0.00924387156267772,641.244290727132
"last_C",0.00218849761610089,0.00453233408473653,0.00327418648662099,101.474453661628
"last_D",0.00103414297941622,0.00233285163571289,0.00163463863692984,61.027956697829
"last_E",0.245658496299007,0.306137947314371,0.273611241828982,8853.59795727613
"last_F",0.00863875395480971,0.00649540206514081,0.00764265471433578,220.46228221129
"last_G",0.00150665843849466,0.00186688740415308,0.00167283954686806,81.4091379830332
"shopping_pt_2_A",0.0031581033961336,0.00674708076846509,0.00481711909969929,380.975420417946
"shopping_pt_2_B",0.00111861174062207,0.00235492957030853,0.00168910132565115,248.042294875521
"shopping_pt_2_C",0.00106561044940277,0.00287645560741332,0.0019037161388387,75.2687839930871
"shopping_pt_2_D",0.000770041624079875,0.00139218707610837,0.00105790911567559,53.4764301656643
"shopping_pt_2_E",0.00803610741916081,0.00767121518018729,0.0078703272166393,2585.54310338084
"shopping_pt_2_F",0.00338404474054676,0.00259207210693114,0.00301785411252863,105.268785898652
"shopping_pt_2_G",0.000992511902519784,0.00143711111880948,0.00119701506290284,78.8561229860506
"shopping_pt_3_A",0.0101548219506817,0.00582436802915762,0.00815278244491422,431.473832534644
"shopping_pt_3_B",0.00339106179555552,0.00443681196683635,0.00387617688270066,372.383667346554
"shopping_pt_3_C",0.00171428456562441,0.00315080519986072,0.00237912557011789,82.6551700797441
"shopping_pt_3_D",0.000711823661275175,0.00141517064147476,0.0010364786531406,47.6376066505311
"shopping_pt_3_E",0.0492866314546464,0.0487572799837686,0.0490433249118244,5377.92120907569
"shopping_pt_3_F",0.00549195805661786,0.00414795585339723,0.00487206065042977,117.562004452027
"shopping_pt_3_G",0.00121428518177874,0.00191546125523421,0.00153818664344362,76.0503582422469
"shopping_pt_min_cost_A",0.010936008045562,0.0131483504080487,0.0119582855600203,695.025254138487
"shopping_pt_min_cost_B",0.00273689710724069,0.00343253858783839,0.00305883487807929,322.053151254241
"shopping_pt_min_cost_C",0.00163384512480451,0.0047381709518193,0.00306903100799566,86.2345690525364
"shopping_pt_min_cost_D",0.000942973916518025,0.00200590011152996,0.00143542849469565,49.1570007771033
"shopping_pt_min_cost_E",0.0492830783135619,0.071135407753187,0.0593613929241301,3754.76922353835
"shopping_pt_min_cost_F",0.00353409468045239,0.00370443181732468,0.00361367173523502,129.277121834327
"shopping_pt_min_cost_G",0.00121761965551427,0.00137131810509514,0.00128836450451215,72.3052738046615
"A0_count",0.00587745428750433,0.00284591641459639,0.00447614848485624,164.309604581524
"A1_count",0.00618003204551941,0.005067570090815,0.00566641104445137,202.971464422864
"A2_count",0.00193858770406563,0.00131443318192935,0.00164993817199549,163.000463921117
"B0_count",0.00561017319418365,0.00301048273803986,0.00440773917598558,203.446357355139
"B1_count",0.00509132484819219,0.00474033206380047,0.00492724888249774,212.721398057471
"C1_count",0.0034080317439396,0.00254127977951603,0.00300634553798618,176.321269239255
"C2_count",0.00276193425627422,0.00187570188475814,0.00235188528657452,167.874271921444
"C3_count",0.0049746375269873,0.00354307960886767,0.00431256854519355,184.472732245226
"C4_count",0.00169251824706681,0.00199316973910823,0.00183145517401195,133.902839221811
"D1_count",0.00157883357496738,0.00109044349593761,0.00135386050731579,139.093448005774
"D2_count",0.00207470072032519,0.00170783726745612,0.00190526451207041,160.105165361177
"D3_count",0.00501827101687364,0.00400890882697517,0.00455191411125974,198.646015576682
"E0_count",0.0187698351042168,0.00798548020106707,0.0137841821560316,324.733065582393
"E1_count",0.0173975213091199,0.0182741722108304,0.0178027065362455,432.981841669299
"F0_count",0.00582789986934622,0.00363009272303844,0.00481090482721477,169.663488125561
"F1_count",0.00351540150556511,0.00293312060527575,0.00324698012984919,172.756861006976
"F2_count",0.00504942048717568,0.00406890757467698,0.00459754557022408,179.739585272997
"F3_count",0.00142204218458725,0.0012322196537532,0.00133375062651949,111.282596056797
"G1_count",0.00260810697963698,0.00182854323597968,0.00224776002673824,137.521526913711
"G2_count",0.00285357210848974,0.00249654107536473,0.00268912009127197,168.496892339985
"G3_count",0.00285204785942175,0.00288303792839368,0.00286557447390089,174.647214454663
"G4_count",0.0014527648632034,0.00136176979590896,0.00141117096527967,128.7302529334
"car_age_cut",0.0064021691080461,0.00531519835699131,0.00590107696086512,281.148549848626
"age_youngest_cut",0.00259612131371857,0.00157865291211486,0.00212550487699774,170.410955232431
