"","size.train","error.glm.test","error.glm.train"
"1",0.2,0.0755670103092784,0.0725108225108225
"2",0.3,0.0748969072164948,0.0728078614623419
"3",0.4,0.075,0.0744749387965468
"4",0.5,0.0751030927835052,0.0716627151840016
"5",0.6,0.0750515463917526,0.0728250412314459
"6",0.7,0.075,0.0732009012060257
"7",0.8,0.0750515463917526,0.0726075584017318
